"","type","area","proportion"
"1","Allotments",153812,0.452209798627695
"2","Amenity.residential.business",6070452,17.8472282819226
"3","Amenity.transport",177284,0.52121786297501
"4","Bowling.green",19408,0.0570598378004726
"5","Cemetery",937980,2.75767655915536
"6","Institutional.grounds",1143200,3.36102671957442
"7","Natural",1428668,4.20030731403162
"8","Other.sports",397728,1.16932683268273
"9","Play.space",76196,0.224017487687799
"10","Playing.field",579156,1.70272812351456
"11","Private.garden",11615988,34.1511949284953
"12","Public.park",9325320,27.4165934994592
"13","Religious.grounds",304904,0.896422752716164
"14","School.grounds",1711284,5.03120298178813
"15","Tennis.court",72036,0.211787019568984
