"","priFunc","area","proportion"
"1","Private Garden",20256064.8862444,39.94901753431
"2","Public Park Or Garden",12362051.0308035,24.3804409278414
"3","Amenity - Residential Or Business",6731251.66965696,13.2753766582566
"4","School Grounds",1905560.21541248,3.75814645567671
"5","Land Use Changing",1780871.86660902,3.51223605498203
"6","Natural",1660114.69034547,3.27407871400599
"7","Playing Field",1171743.72622136,2.31091334508525
"8","Cemetery",1095763.55825723,2.1610652339489
"9","Other Sports Facility",1035944.10822197,2.04308929579054
"10","Institutional Grounds",955063.393793683,1.88357632537755
"11","Golf Course",517261.861598563,1.02014400599909
"12","Amenity - Transport",356128.69414316,0.702357122505931
"13","Religious Grounds",275376.444571855,0.54309751052425
"14","Allotments Or Community Growing Spaces",247544.128178391,0.488206607386492
"15","Play Space",224359.486660219,0.442481850098362
"16","Tennis Court",113206.924573389,0.223266732219978
"17","Bowling Green",16481.9089399292,0.0325056259909233
