"","joinID","X","Y","ownerID","riskPerc","nature","access"
"1",24,3.87999999999988,0.03,"hex-24",0,3,0
"2",25,3.92000000000012,0.03,"hex-25",0,3,0
"3",27,4,0.03,"hex-27",0,3,0
"4",29,4.07999999999988,0.03,"hex-29",0,3,0
"5",30,4.12,0.03,"hex-30",0,3,0
"6",33,4.24,0.03,"hex-33",0,3,0
"7",34,4.28,0.03,"hex-34",0,3,0
"8",45,3.62,0.07,"hex-45",0,2,0
"9",46,3.66,0.07,"hex-46",0,3,0
"10",47,3.69999999999988,0.07,"hex-47",0,3,0
"11",48,3.74000000000012,0.07,"hex-48",0,3,0
"12",49,3.78000000000012,0.07,"hex-49",0,3,0
"13",50,3.82,0.07,"hex-50",0,3,0
"14",51,3.86,0.07,"hex-51",0,3,0
"15",52,3.89999999999988,0.07,"hex-52",0,3,0
"16",53,3.94,0.07,"hex-53",0,3,0
"17",54,3.98,0.07,"hex-54",0,3,0
"18",55,4.02,0.07,"hex-55",0,3,0
"19",56,4.05999999999988,0.07,"hex-56",0,3,0
"20",57,4.1,0.07,"hex-57",0,3,0
"21",58,4.14,0.07,"hex-58",0,2,0
"22",59,4.18,0.07,"hex-59",0,2,0
"23",60,4.22,0.07,"hex-60",0,2,0
"24",61,4.25999999999988,0.07,"hex-61",0,3,0
"25",62,4.3,0.07,"hex-62",0,3,0
"26",63,4.34,0.07,"hex-63",0,3,0
"27",64,4.37999999999988,0.07,"hex-64",0,3,0
"28",65,4.42000000000012,0.07,"hex-65",0,3,0
"29",66,4.46000000000012,0.07,"hex-66",0,3,0
"30",74,3.51999999999988,0.1,"hex-74",0,3,0
"31",75,3.56000000000012,0.1,"hex-75",0,2,0
"32",76,3.60000000000012,0.1,"hex-76",0,2,0
"33",77,3.64,0.1,"hex-77",0,2,0
"34",78,3.68,0.1,"hex-78",0,3,0
"35",79,3.72,0.1,"hex-79",0,3,0
"36",80,3.76,0.1,"hex-80",0,3,0
"37",81,3.8,0.1,"amnrb-1",0.5,3,0
"38",82,3.84,0.1,"othsp-1",0,3,1
"39",83,3.87999999999988,0.1,"othsp-1",0,3,1
"40",84,3.92000000000012,0.1,"othsp-1",0,3,1
"41",85,3.96000000000012,0.1,"othsp-1",0,3,1
"42",86,4,0.1,"othsp-1",0,3,1
"43",87,4.04,0.1,"othsp-1",0,3,0
"44",88,4.07999999999988,0.1,"hex-88",0,3,0
"45",89,4.12,0.1,"hex-89",0,2,0
"46",90,4.16,0.1,"hex-90",0,2,0
"47",91,4.19999999999988,0.1,"hex-91",0,2,0
"48",97,4.44000000000012,0.1,"hex-97",0,2,0
"49",98,4.48,0.1,"hex-98",0,3,0
"50",99,4.52,0.1,"hex-99",0,2,0
