TargetSiteID,Site name,Site type,Owner type,Company,Easting,Northing,StatusSummary,Status_2012,Status_2013,Status_2014,Status_2015,Status_2016,Status_2017,Status_2018,Status_2019,Status_2020,Survey_2012,Survey_2013,Survey_2014,Survey_2015,Survey_2016,Survey_2017,Survey_2018,Survey_2019,Survey_2020,SPHN_2013,SPHN_2014,SPHN_2015,SPHN_2016,SPHN_2017,SPHN_2018,SPHN_2019,SPHN_2020,Spray_2013,Spray_2014,Spray_2015,Spray_2016,Spray_2017,Spray_2018,Spray_2019,Spray_2020,Nest removal_2013,Nest removal_2014,Nest removal_2015,Nest removal_2016,Nest removal_2017,Nest removal_2018
3,Fishpond Wood (Beverley Wood),Woodland,Local Authority,London Borough of Merton,521956,171013,Infested,,Not infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
4,Hanger Hill Park (LB Ealing),Park / public garden,Local Authority,London Borough of Ealing,518276,181967,Infested,Infested,Infested,Infested,,,,Infested,,,Surveyed,Surveyed,Surveyed,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,Nest removal,,,,
5,Wandsworth Park,Park / public garden,Local Authority,London Borough of Wandsworth,524997,175108,Infested,Infested,Not infested,Not infested,,,Not infested,Infested,Infested,,Surveyed,Surveyed,Surveyed,,,Surveyed,Surveyed,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
6,Little Wormwood Scrubs,Park / public garden,Local Authority,Royal Borough of Kensington & Chelsea,523151,182010,Infested,Infested,Not infested,Infested,Not infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,Spraying,Spraying,Spraying,,,,,,,Nest removal,,,,
7,River Brent,Footpath,Public / private organisation,The Canal and River Trust,516293,178326,Infested,Infested,Not infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
8,Brompton Cemetery,Cemetery,Public / private organisation,The Royal Parks,525574,178115,Infested,Infested,Not infested,Not infested,,,Infested,,Infested,,Surveyed,Surveyed,Surveyed,,,Surveyed,,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
9,Richmond Park Golf Club,Golf Course,Public / private organisation,Richmond Park Golf Course,521687,173549,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,Nest removal,,,,
10,Wimbledon & Putney Commons,Common,Public / private organisation,Wimbledon & Putney Common Conservators,522994,172803,Infested,Infested,Infested,Infested,Infested,,Infested,Infested,Infested,,Surveyed,Surveyed,Surveyed,Surveyed,,Surveyed,Surveyed,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,Spraying,Spraying,,,,,Nest removal,,Nest removal,,,
11,Wimbledon Park Golf Club,Golf Course,Public / private organisation,Wimbledon Park Golf Club,524367,172416,Infested,Infested,Previously infested,Infested,Infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,Spraying,Spraying,Spraying,,,,,,,Nest removal,Nest removal,,,
12,Wimbledon Club,Recreation ground / sports field,Public / private organisation,c/o Mr P Brind,524377,172029,Infested,,Previously infested,,Not infested,,,,,,,Surveyed,,Surveyed,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
13,Petersham Common,Park / public garden,Public / private organisation,The National Trust London & South East Region,518093,173423,Infested,Infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
14,Network Rail (west of Park Royal),Railway / underground,Network Rail,Network Rail Ltd,516375,183358,Infested,,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,,,,,,,,,,Nest removal,,,,
15,King Edward VII Sports Ground,Recreation ground / sports field,Public / private organisation,Willesdon Sports Centre,522934,183775,Infested,,Previously infested,,,,,,,,,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
16,Transport for London (Hanger Lane),Road verge,TFL,Transport for London,518541,182371,Infested,Infested,Not infested,Previously infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
17,Rugby Football Union,Recreation ground / sports field,Public / private organisation,Rugby Football Union,515391,174623,Infested,Infested,Previously infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
18,Roehampton University,Private garden / land,Public / private organisation,Roehampton University,522138,174778,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
19,Roehampton Golf Club,Golf Course,Public / private organisation,Roehampton Club Ltd,521753,174637,Infested,Infested,Infested,,,,,Infested,,,Surveyed,Surveyed,,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
20,Bank of England Sports Centre,Recreation ground / sports field,Public / private organisation,Bank of England Sports Centre,521481,174765,Infested,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
21,National Tennis Centre,Recreation ground / sports field,Public / private organisation,Lawn Tennis Association Ltd,521536,174943,Infested,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
22,"Chestnut House, 209 Arabella Drive",Residential garden,Private individual(s),Richmond-upon-Thames Churches Housing Trust,521701,175436,Infested,,Previously infested,,,,,,,,,Surveyed,,,,,,,,,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
