"indID","individuals","paramID","K","Rmax","Dispersal","batch","occupied"
1,"initial_inds_2012_n10.txt",1,50,10,600,11,NA
1,"initial_inds_2012_n10.txt",2,100,10,600,12,NA
1,"initial_inds_2012_n10.txt",3,50,20,600,13,NA
1,"initial_inds_2012_n10.txt",4,100,20,600,14,NA
1,"initial_inds_2012_n10.txt",5,50,10,1000,15,NA
1,"initial_inds_2012_n10.txt",6,100,10,1000,16,NA
1,"initial_inds_2012_n10.txt",7,50,20,1000,17,NA
1,"initial_inds_2012_n10.txt",8,100,20,1000,18,NA
2,"initial_inds_2012_n25.txt",1,50,10,600,21,NA
2,"initial_inds_2012_n25.txt",2,100,10,600,22,NA
2,"initial_inds_2012_n25.txt",3,50,20,600,23,132
2,"initial_inds_2012_n25.txt",4,100,20,600,24,157
2,"initial_inds_2012_n25.txt",5,50,10,1000,25,183
2,"initial_inds_2012_n25.txt",6,100,10,1000,26,184
2,"initial_inds_2012_n25.txt",7,50,20,1000,27,154
2,"initial_inds_2012_n25.txt",8,100,20,1000,28,183
3,"initial_inds_2012_n50.txt",1,50,10,600,31,180
3,"initial_inds_2012_n50.txt",2,100,10,600,32,191
3,"initial_inds_2012_n50.txt",3,50,20,600,33,NA
3,"initial_inds_2012_n50.txt",4,100,20,600,34,NA
3,"initial_inds_2012_n50.txt",5,50,10,1000,35,164
3,"initial_inds_2012_n50.txt",6,100,10,1000,36,177
3,"initial_inds_2012_n50.txt",7,50,20,1000,37,171
3,"initial_inds_2012_n50.txt",8,100,20,1000,38,161
4,"initial_inds_2012_n75.txt",1,50,10,600,41,162
4,"initial_inds_2012_n75.txt",2,100,10,600,42,318
4,"initial_inds_2012_n75.txt",3,50,20,600,43,289
4,"initial_inds_2012_n75.txt",4,100,20,600,44,359
4,"initial_inds_2012_n75.txt",5,50,10,1000,45,NA
4,"initial_inds_2012_n75.txt",6,100,10,1000,46,NA
4,"initial_inds_2012_n75.txt",7,50,20,1000,47,162
4,"initial_inds_2012_n75.txt",8,100,20,1000,48,178
5,"initial_inds_2013_n10.txt",1,50,10,600,51,137
5,"initial_inds_2013_n10.txt",2,100,10,600,52,205
5,"initial_inds_2013_n10.txt",3,50,20,600,53,145
5,"initial_inds_2013_n10.txt",4,100,20,600,54,193
5,"initial_inds_2013_n10.txt",5,50,10,1000,55,136
5,"initial_inds_2013_n10.txt",6,100,10,1000,56,331
5,"initial_inds_2013_n10.txt",7,50,20,1000,57,NA
5,"initial_inds_2013_n10.txt",8,100,20,1000,58,NA
6,"initial_inds_2013_n25.txt",1,50,10,600,61,147
6,"initial_inds_2013_n25.txt",2,100,10,600,62,153
6,"initial_inds_2013_n25.txt",3,50,20,600,63,171
6,"initial_inds_2013_n25.txt",4,100,20,600,64,193
6,"initial_inds_2013_n25.txt",5,50,10,1000,65,144
6,"initial_inds_2013_n25.txt",6,100,10,1000,66,194
6,"initial_inds_2013_n25.txt",7,50,20,1000,67,168
6,"initial_inds_2013_n25.txt",8,100,20,1000,68,371
7,"initial_inds_2013_n50.txt",1,50,10,600,71,NA
7,"initial_inds_2013_n50.txt",2,100,10,600,72,NA
7,"initial_inds_2013_n50.txt",3,50,20,600,73,150
