"indID","individuals","paramID","K","Rmax","Dispersal","batch","occupied"
1,"initial_inds_2012_n10.txt",1,50,10,600,11,NA
1,"initial_inds_2012_n10.txt",2,100,10,600,12,NA
1,"initial_inds_2012_n10.txt",3,50,20,600,13,NA
1,"initial_inds_2012_n10.txt",4,100,20,600,14,NA
1,"initial_inds_2012_n10.txt",5,50,10,1000,15,NA
1,"initial_inds_2012_n10.txt",6,100,10,1000,16,NA
1,"initial_inds_2012_n10.txt",7,50,20,1000,17,NA
1,"initial_inds_2012_n10.txt",8,100,20,1000,18,NA
2,"initial_inds_2012_n25.txt",1,50,10,600,21,NA
2,"initial_inds_2012_n25.txt",2,100,10,600,22,NA
2,"initial_inds_2012_n25.txt",3,50,20,600,23,143
2,"initial_inds_2012_n25.txt",4,100,20,600,24,157
2,"initial_inds_2012_n25.txt",5,50,10,1000,25,149
2,"initial_inds_2012_n25.txt",6,100,10,1000,26,195
2,"initial_inds_2012_n25.txt",7,50,20,1000,27,132
2,"initial_inds_2012_n25.txt",8,100,20,1000,28,190
3,"initial_inds_2012_n50.txt",1,50,10,600,31,280
3,"initial_inds_2012_n50.txt",2,100,10,600,32,175
3,"initial_inds_2012_n50.txt",3,50,20,600,33,NA
3,"initial_inds_2012_n50.txt",4,100,20,600,34,NA
3,"initial_inds_2012_n50.txt",5,50,10,1000,35,145
3,"initial_inds_2012_n50.txt",6,100,10,1000,36,181
3,"initial_inds_2012_n50.txt",7,50,20,1000,37,170
3,"initial_inds_2012_n50.txt",8,100,20,1000,38,187
4,"initial_inds_2012_n75.txt",1,50,10,600,41,150
4,"initial_inds_2012_n75.txt",2,100,10,600,42,194
4,"initial_inds_2012_n75.txt",3,50,20,600,43,168
4,"initial_inds_2012_n75.txt",4,100,20,600,44,203
4,"initial_inds_2012_n75.txt",5,50,10,1000,45,NA
4,"initial_inds_2012_n75.txt",6,100,10,1000,46,NA
4,"initial_inds_2012_n75.txt",7,50,20,1000,47,141
4,"initial_inds_2012_n75.txt",8,100,20,1000,48,158
5,"initial_inds_2013_n10.txt",1,50,10,600,51,142
5,"initial_inds_2013_n10.txt",2,100,10,600,52,192
5,"initial_inds_2013_n10.txt",3,50,20,600,53,148
5,"initial_inds_2013_n10.txt",4,100,20,600,54,174
5,"initial_inds_2013_n10.txt",5,50,10,1000,55,158
5,"initial_inds_2013_n10.txt",6,100,10,1000,56,223
5,"initial_inds_2013_n10.txt",7,50,20,1000,57,NA
5,"initial_inds_2013_n10.txt",8,100,20,1000,58,NA
6,"initial_inds_2013_n25.txt",1,50,10,600,61,144
6,"initial_inds_2013_n25.txt",2,100,10,600,62,170
6,"initial_inds_2013_n25.txt",3,50,20,600,63,172
6,"initial_inds_2013_n25.txt",4,100,20,600,64,160
6,"initial_inds_2013_n25.txt",5,50,10,1000,65,169
6,"initial_inds_2013_n25.txt",6,100,10,1000,66,191
6,"initial_inds_2013_n25.txt",7,50,20,1000,67,173
6,"initial_inds_2013_n25.txt",8,100,20,1000,68,209
7,"initial_inds_2013_n50.txt",1,50,10,600,71,NA
7,"initial_inds_2013_n50.txt",2,100,10,600,72,NA
7,"initial_inds_2013_n50.txt",3,50,20,600,73,152
