"","Rep","Year","RepSeason","NInds","NOccupCells","Occup.Suit","min_X","max_X","min_Y","max_Y","ID","K","Rmax","Dispersal"
"1",0,0,0,375,15,0.035461,523235,528635,175700,183400,1,20,10,800
"2",0,1,0,242,23,0.0543735,523235,528635,175700,183400,1,20,10,800
"3",0,2,0,316,28,0.0661939,523235,528635,175700,183400,1,20,10,800
"4",0,3,0,373,46,0.108747,523235,528735,175700,183400,1,20,10,800
"5",0,4,0,528,59,0.13948,523235,528635,175700,183400,1,20,10,800
"6",0,5,0,800,77,0.182033,523235,528735,175700,183400,1,20,10,800
"7",0,6,0,1055,91,0.21513,523235,528735,175500,183400,1,20,10,800
"8",0,7,0,1320,115,0.271868,523235,528735,175500,184000,1,20,10,800
"9",0,8,0,1636,130,0.307329,523235,528735,175500,184100,1,20,10,800
"10",0,9,0,1857,142,0.335697,523235,528735,175500,184100,1,20,10,800
"11",0,10,0,2229,153,0.361702,523235,529535,175500,184100,1,20,10,800
"12",1,0,0,375,15,0.035461,523235,528635,175700,183400,1,20,10,800
"13",1,1,0,217,24,0.0567376,523235,528635,175700,183400,1,20,10,800
"14",1,2,0,301,35,0.0827423,523235,528635,175700,183400,1,20,10,800
"15",1,3,0,414,47,0.111111,523235,528635,175700,183400,1,20,10,800
"16",1,4,0,591,60,0.141844,523235,528635,175700,186400,1,20,10,800
"17",1,5,0,847,80,0.189125,523235,528735,175700,186400,1,20,10,800
"18",1,6,0,1059,106,0.250591,523235,528735,175700,186700,1,20,10,800
"19",1,7,0,1399,126,0.297872,523235,528735,175700,186700,1,20,10,800
"20",1,8,0,1777,143,0.338061,522835,528735,175700,186900,1,20,10,800
"21",1,9,0,2073,164,0.387707,522835,528735,175700,187000,1,20,10,800
"22",1,10,0,2466,195,0.460993,522835,528735,175700,187200,1,20,10,800
"23",2,0,0,375,15,0.035461,523235,528635,175700,183400,1,20,10,800
"24",2,1,0,254,27,0.0638298,523235,528635,175700,183400,1,20,10,800
